Altium Designer Pick and Place Locations
E:\AD20 ÏîÄ¿¼°¹¤¾ß\H6\RK3288\Project Outputs for RK3288\Pick Place for RK3288.txt

========================================================================================================================
File Design Information:

Date:       30/06/24
Time:       18:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator      Comment                 Layer       Footprint       Center-X(mm) Center-Y(mm) Rotation Description                                                                       
D1              PMEG3030EP              TopLayer    DO214AC         236.0930mm   267.2030mm   90       "RoHS 1.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER 1N5819"                       
R42             NC                      BottomLayer r0402           323.7728mm   245.5821mm   360      ""                                                                                
C132            10uF                    TopLayer    C0603           331.1896mm   235.2636mm   270      ""                                                                                
C99             0.1uF                   BottomLayer c0402           314.8040mm   239.6744mm   360      ÌùÆ¬µçÈÝ                                                                              
R16             10K                     BottomLayer r0402           280.6954mm   253.1872mm   360      ÌùÆ¬µç×è                                                                              
R40             NC                      TopLayer    r0402           304.8508mm   244.8560mm   360      ""                                                                                
U2              RC5T619-1017(RK3288)    TopLayer    CSP0608-80      282.7476mm   253.7870mm   90       ""                                                                                
P2              TEST                    BottomLayer T-0_7           259.8934mm   266.5985mm   180      ""                                                                                
C192            0.1uF                   BottomLayer c0402           302.1040mm   240.0046mm   360      CAP,MLCC,100nF,+/-10%,X7R,6.3V,SMD0402                                            
C103            0.1uF                   BottomLayer c0402           324.6374mm   244.2718mm   180      "RoHS CHIP CAP 0.1uF +10/-10% X7R"                                                
R159            0R                      BottomLayer r0402           371.7000mm   260.6887mm   180      "ROHS CHIP RES 4.7K 1/16W 5%"                                                     
R149            NC/0R                   TopLayer    r0402           371.7000mm   264.3717mm   180      "ROHS CHIP RES 4.7K 1/16W 5%"                                                     
L3              1uH/1.5A                TopLayer    IND-3X3         277.2112mm   260.1863mm   180      ""                                                                                
C197            2.2uF                   TopLayer    C0603           254.4572mm   261.3914mm   180      "RoHS CHIP CAP 2.2uF +10/-10% X5R"                                                
S3              SHIELD                  TopLayer    0_9MM_SHIELD    351.0280mm   253.7460mm   270      ""                                                                                
S3              SHIELD                  TopLayer    0_9MM_SHIELD    368.3000mm   253.7460mm   270      ""                                                                                
S3              SHIELD                  TopLayer    0_9MM_SHIELD    335.9150mm   267.0810mm   180      ""                                                                                
S3              SHIELD                  TopLayer    0_9MM_SHIELD    312.2640mm   267.0810mm   180      ""                                                                                
S3              SHIELD                  TopLayer    0_9MM_SHIELD    349.5040mm   258.3180mm   270      ""                                                                                
S3              SHIELD                  TopLayer    0_9MM_SHIELD    299.2120mm   239.1410mm   270      ""                                                                                
S3              SHIELD                  TopLayer    0_9MM_SHIELD    299.2120mm   258.3180mm   270      ""                                                                                
S3              SHIELD                  TopLayer    0_9MM_SHIELD    312.2930mm   228.6000mm   180      ""                                                                                
S3              SHIELD                  TopLayer    0_9MM_SHIELD    335.9150mm   228.6000mm   180      ""                                                                                
S3              SHIELD                  TopLayer    0_9MM_SHIELD    349.5040mm   239.1410mm   270      ""                                                                                
S3              SHIELD                  TopLayer    0_9MM_SHIELD    360.0450mm   228.6000mm   180      ""                                                                                
